site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,delay,hiding_location,pick,correct,researcher,life_expectancy,norm_age
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,3,2,23,medium,3,1,0,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,3,2,24,medium,1,3,0,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,3,3,25,long,1,2,0,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,3,3,26,long,3,2,0,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,3,3,27,long,2,2,1,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,4,1,28,medium,3,2,0,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,4,1,29,medium,3,3,1,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,4,1,30,medium,2,3,0,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,4,2,31,long,1,2,0,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,4,2,32,long,2,2,1,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,4,2,33,long,1,2,0,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,4,3,34,short,3,2,0,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,4,3,35,short,1,1,1,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lilly_dpz,8.5,10,yes,60,single,4,3,36,short,2,2,1,julia,39,-0.5564467194942232
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,1,1,1,short,1,1,1,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,1,1,2,short,2,3,0,julia,39,-0.6271472377524218
