site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,condition,hiding_location,pick,correct,researcher,life_expectancy,norm_age
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,1,2,6,long,3,1,0,voelter,46,-0.31967897838691856
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,1,3,7,short,1,3,0,voelter,46,-0.31967897838691856
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,1,3,8,short,3,3,1,voelter,46,-0.31967897838691856
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,1,3,9,short,2,3,0,voelter,46,-0.31967897838691856
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,2,1,10,short,1,1,1,voelter,46,-0.31967897838691856
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,1,1,1,medium,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,1,1,2,medium,2,3,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,1,1,3,medium,1,2,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,1,2,4,short,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,1,2,5,short,1,1,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,1,2,6,short,2,2,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,1,3,7,long,1,1,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,1,3,8,long,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,1,3,9,long,2,2,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,2,1,10,long,1,1,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,2,1,11,long,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,2,1,12,long,2,2,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,2,2,13,short,1,1,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,2,2,14,short,3,3,1,voelter,46,-0.9191283695052642
